"State","Indicator","Type","Estimate","LCL","UCL"
"Northern","Child: Mild anaemia","Proportion",23.63,8.54,38.72
"Northern","Child: Moderate anaemia","Proportion",19.98,7.78,32.17
"Northern","Child: Severe Anaemia","Proportion",0.96,0.01,3.97
"Northern","Pregnant: Mild anaemia","Proportion",16.61,0.01,57.42
"Northern","Pregnant: Moderate anaemia","Proportion",9.62,0.01,35.26
"Northern","Pregnant: Severe Anaemia","Proportion",0.82,0.01,7.86
"Northern","Non-pregnant: Mild anaemia","Proportion",9.31,0.01,20.99
"Northern","Non-pregnant: Moderate anaemia","Proportion",11.89,1.39,22.39
"Northern","Non-pregnant: Severe Anaemia","Proportion",0,0,2.01
"Northern","Child: Acute inflammation","Proportion",9.76,0.01,21.72
"Northern","Pregnant: Acute inflammation","Proportion",11.54,0.01,42.06
"Northern","Non-pregnant: Acute inflammation","Proportion",9.33,0.01,21.11
"Northern","Child: Iron deficiency","Proportion",57.98,41.32,74.63
"Northern","Child: Iron deficiency anaemia","Proportion",23.08,8.63,37.53
"Northern","Pregnant: Iron deficiency","Proportion",58.52,13.27,99.99
"Northern","Pregnant: Iron overload","Proportion",0,0,0
"Northern","Pregnant: Iron deficiency anaemia","Proportion",19.36,0.01,47.22
"Northern","Non-pregnant: Iron deficiency","Proportion",39.53,18.95,60.11
"Northern","Non-pregnant: Iron overload","Proportion",0,0,0
"Northern","Non-pregnant: Iron deficiency anaemia","Proportion",14.78,3.43,26.12
"Northern","Child: Hypocalcaemia","Proportion",21.09,7.02,35.16
"Northern","Child: Hpercalcaemia","Proportion",16.97,1.74,32.19
"Northern","Pregnant: Hypocalcaemia","Proportion",57.75,31.02,84.48
"Northern","Pregnant: Hpercalcaemia","Proportion",41.54,15.33,67.76
"Northern","Non-pregnant: Hypocalcaemia","Proportion",27.65,0.01,56.7
"Northern","Non-pregnant: Hpercalcaemia","Proportion",65.23,35.01,95.45
"Northern","Pregnant: Iodine intake above requirements","Proportion",5.47,0.01,19.74
"Northern","Pregnant: Iodine intake excessive","Proportion",0,0,0
"Northern","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",17.4,0.01,40.69
"Northern","Non-pregnant non-lactating: Iodine intake excessive","Proportion",0.33,0.01,3.84
"Northern","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"Northern","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"Northern","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",17.66,0.01,53.88
"Northern","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",3.09,0.01,13.24
"Northern","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",1.73,0.01,11.69
"Northern","Non-pregnant lactating: Iodine insufficiency","Proportion",45.43,14.39,76.47
"Northern","Pregnant: Iodine insufficiency","Proportion",100,100,100
"Al-Gadarif","Child: Mild anaemia","Proportion",23.67,9.75,37.59
"Al-Gadarif","Child: Moderate anaemia","Proportion",20.18,6.28,34.08
"Al-Gadarif","Child: Severe Anaemia","Proportion",2.64,0.01,7.8
"Al-Gadarif","Pregnant: Mild anaemia","Proportion",23.82,0.01,65.59
"Al-Gadarif","Pregnant: Moderate anaemia","Proportion",2,0.01,12.53
"Al-Gadarif","Pregnant: Severe Anaemia","Proportion",0,0,0
"Al-Gadarif","Non-pregnant: Mild anaemia","Proportion",16.59,0.83,32.35
"Al-Gadarif","Non-pregnant: Moderate anaemia","Proportion",10.19,0.01,23.34
"Al-Gadarif","Non-pregnant: Severe Anaemia","Proportion",0.28,0.01,2.57
"Al-Gadarif","Child: Acute inflammation","Proportion",33.24,16.92,49.56
"Al-Gadarif","Pregnant: Acute inflammation","Proportion",45.73,5.02,86.44
"Al-Gadarif","Non-pregnant: Acute inflammation","Proportion",32.04,10.97,53.1
"Al-Gadarif","Child: Iron deficiency","Proportion",48.9,29.3,68.5
"Al-Gadarif","Child: Iron deficiency anaemia","Proportion",26.36,9.57,43.15
"Al-Gadarif","Pregnant: Iron deficiency","Proportion",68.88,19.73,99.99
"Al-Gadarif","Pregnant: Iron overload","Proportion",0,0,0
"Al-Gadarif","Pregnant: Iron deficiency anaemia","Proportion",20.89,0.01,59.24
"Al-Gadarif","Non-pregnant: Iron deficiency","Proportion",37,17.2,56.81
"Al-Gadarif","Non-pregnant: Iron overload","Proportion",0.85,0.01,6.13
"Al-Gadarif","Non-pregnant: Iron deficiency anaemia","Proportion",14.58,1.05,28.11
"Al-Gadarif","Child: Hypocalcaemia","Proportion",56.11,35.08,77.14
"Al-Gadarif","Child: Hpercalcaemia","Proportion",2.67,0.01,9.88
"Al-Gadarif","Pregnant: Hypocalcaemia","Proportion",88.44,51.2,99.99
"Al-Gadarif","Pregnant: Hpercalcaemia","Proportion",9.33,0.01,55.2
"Al-Gadarif","Non-pregnant: Hypocalcaemia","Proportion",79.98,52.66,99.99
"Al-Gadarif","Non-pregnant: Hpercalcaemia","Proportion",10.99,0.01,36.43
"Al-Gadarif","Pregnant: Iodine intake above requirements","Proportion",4.59,0.01,20.08
"Al-Gadarif","Pregnant: Iodine intake excessive","Proportion",0,0,0
"Al-Gadarif","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",8.03,0.01,27.11
"Al-Gadarif","Non-pregnant non-lactating: Iodine intake excessive","Proportion",1.71,0.01,9.01
"Al-Gadarif","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"Al-Gadarif","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"Al-Gadarif","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",25.95,0.01,59.92
"Al-Gadarif","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",11.17,0.01,35.4
"Al-Gadarif","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",6.59,0.01,27.05
"Al-Gadarif","Non-pregnant lactating: Iodine insufficiency","Proportion",65.2,37.72,92.68
"Al-Gadarif","Pregnant: Iodine insufficiency","Proportion",95.68,95.68,95.68
"West Kourdofan","Child: Mild anaemia","Proportion",23.58,7.96,39.19
"West Kourdofan","Child: Moderate anaemia","Proportion",16.11,0.22,32
"West Kourdofan","Child: Severe Anaemia","Proportion",1.14,0.01,6.79
"West Kourdofan","Pregnant: Mild anaemia","Proportion",20.52,0.01,50.86
"West Kourdofan","Pregnant: Moderate anaemia","Proportion",9.29,0.01,33.11
"West Kourdofan","Pregnant: Severe Anaemia","Proportion",0,0,0
"West Kourdofan","Non-pregnant: Mild anaemia","Proportion",14.32,0.01,31.46
"West Kourdofan","Non-pregnant: Moderate anaemia","Proportion",10.21,0.01,27.41
"West Kourdofan","Non-pregnant: Severe Anaemia","Proportion",1.6,0.01,8.68
"West Kourdofan","Child: Acute inflammation","Proportion",24.37,6.32,42.43
"West Kourdofan","Pregnant: Acute inflammation","Proportion",32.13,0.01,69.11
"West Kourdofan","Non-pregnant: Acute inflammation","Proportion",20.42,0.01,41.32
